Station ID,Station Name,Lat,Lon,Ave temp annual_F,Note
KWASEATT2983,Broadview WX,47.722,-122.365,,no data
KWASEATT2064,Bitter Lake,47.722,-122.355,51.45616438,
KWASEATT2887,Broadview,47.718,-122.353,,no data
KWASEATT2828,Rooftop Atlas,47.728,-122.332,,no data
KWASEATT2985,PuddleTracker,47.723,-122.337,,no data
KWASEATT295,Haller Lake,47.719,-122.335,50.99780822,
KWASEATT279,Haller Lake,47.714,-122.334,51.98986301,
KWASEATT1740,Haller Lake,47.713,-122.332,51.82417582,
KWASEATT2885,Meow weather,47.731,-122.308,,no data
KWASEATT2001,Cedar Park,47.727,-122.286,52.06438356,
KWASEATT2902,jjnweather1,47.725,-122.29,,no data
KWASEATT2755,Pinehurst,47.72,-122.318,51.74849315,
KWASEATT1745,Victory Heights,47.719,-122.309,52.05205479,
KWASEATT2659,5th Floor Ecowitt Outdoor Sensor,47.708,-122.322,53.54972527,
KWASEATT2773,Shechtmanium,47.719,-122.284,,drop because missing Jan-Feb data
KWASEATT2974,DLWeather,47.718,-122.286,,no data
KWASEATT2816,Cedar Park,47.716,-122.293,,drop because missing Jan-July data
KWASEATT2820,Lakeside House,47.716,-122.281,,drop because missing Jan-July data
KWASEATT2981,35th and 113th Weather Station,47.711,-122.291,,no data
KWASEATT2346,Chelsea on 40th,47.712,-122.286,51.99287671,
KWASEATT1813,Meadowbrook Pond,47.706,-122.29,51.91123288,
KWASEATT302,Meadowbrook,47.707,-122.285,52.2660274,
KWASEATT2919,Logia GP,47.708,-122.289,,no data
KWASEATT2165,Ellis-Seattle-WS-2902A,47.703,-122.276,,drop because too many mssing data
KWASEATT166,Matthews Beach Neighborhood,47.7,-122.283,52.09972603,
KWASEATT2520,Garden Weather,47.7,-122.291,52.01232877,
KWASEATT2748,Mirkwood,47.699,-122.295,51.65534247,
KWASEATT2396,Greenmonster Weather Station,47.696,-122.303,52.0490411,
KWASEATT1973,Wedgwood,47.696,-122.3,53.3339726,
KWASEATT2980,9524,47.698,-122.307,,no data
KWASEATT2593,New Podlandia,47.696,-122.312,51.6830137,
KWASEATT2876,PDQ58,47.7,-122.314,,drop because missing Jan-Nov data
KWASEATT2617,Buckley Station,47.695,-122.278,52.43369863,
KWASEATT2899,Ambient,47.691,-122.326,,no data
KWASEATT2631,Roger's Realm,47.687,-122.323,52.83452055,
KWASEATT2986,Chattering Pines,47.687,-122.293,,no data
KWASEATT2170,Woody,47.688,-122.282,,drop because missing May-Dec data
KWASEATT232,Sail Sand Point,47.69,-122.265,52.86794521,
KWASEATT2265,Backyard,47.684,-122.321,52.38054795,
KWASEATT2544,Roosevelt,47.682,-122.31,55.11461988,
KWASEATT2815,Schnitzel,47.682,-122.291,52.16739726,
KWASEATT2988,7034-Wx,47.68,-122.286,,no data
KWASEATT192,View Ridge,47.677,-122.281,52.51369863,
KWASEATT2308,Terp Station,47.678,-122.276,52.25424658,
KWASEATT408,View Ridge,47.68,-122.272,52.34082192,
KWASEATT42,Maple Leaf,47.699,-122.316,51.65972603,
KWASEATT2876,PDQ58,47.7,-122.314,,no data
KWASEATT2958,NE95,47.697,-122.317,,no data
KWASEATT52,Maple Leaf,47.694,-122.314,51.78712329,
KWASEATT2899,Ambient,47.691,-122.326,,no data
KWASEATT2926,23rd St and 95th Ave - Wedgewood,47.695,-122.303,,no data
KWASEATT2869,PumpkinWeather,47.689,-122.282,,drop because missing Jan-Oct data
KWASEATT2388,Biscuit Barometer,47.682,-122.288,52.17150838,
KWASEATT2780,ravenna top pot,47.679,-122.291,52.84273973,
KWASEATT1999,32nd Ave NE Bryant,47.673,-122.294,53.85517241,
KWASEATT12,Bryant,47.674,-122.288,52.62273973,
KWASEATT2231,weather is fun,47.669,-122.292,52.78547945,
KWASEATT180,Bryant,47.671,-122.283,52.79369863,
KWASEATT2443,Osprey,47.672,-122.274,52.55369863,
KWASEATT2937,Belvedere Terrace,47.67,-122.265,,no data
KWASEATT611,Windermere,47.673,-122.264,52.80849315,
KWASEATT2334,Weather Station,47.671,-122.274,52.27452055,
KWASEATT493,Bryant 38th Ave,47.665,-122.287,53.02328767,
KWASEATT2628,Mumford Home Weather Station,47.666,-122.276,52.28328767,
KWASEATT2774,Children's Grounds Department Weather Station,47.662,-122.282,52.79449036,
KWASEATT2076,Laurelhurst,47.663,-122.271,53.44626039,
KWASEATT2832,Laurelhurst,47.658,-122.285,52.78027397,
KWASEATT2687,Seattle1,47.654,-122.28,52.94520548,
KWASEATT456,Laurelhurst,47.656,-122.276,53.35287356,
KWASEATT1856,U-District,47.67,-122.315,53.31680672,
KWASEATT2479,Curry Weather Station,47.67,-122.307,52.65835616,
KWASEATT2474,Kestrel,47.668,-122.316,52.98254848,
KWASEATT2125,UCDS,47.666,-122.318,53.09808219,
KWASEATT1712,University Park,47.667,-122.31,53.05646067,
KWASEATT2938,Washington Yacht Club,47.649,-122.299,,no data
KWASEATT1755,Ashworth Heights,47.705,-122.338,51.32931507,
KWASEATT2890,North Greenwood,47.705,-122.348,,no data
KWASEATT2524,Weather or Knot10,47.706,-122.354,51.6109589,
KWASEATT2829,North Seattle College,47.701,-122.334,,no data
KWASEATT2939,Wynona,47.693,-122.333,,no data
KWASEATT2342,Licton Springs PWS,47.69,-122.338,50.81671233,
KWASEATT2759,dj weather station,47.691,-122.341,53.24106145,
KWASEATT2950,Izzy's Station,47.698,-122.349,,no data
KWASEATT2531,Nessie,47.7,-122.349,51.77369863,
KWASEATT2930,KWeather,47.698,-122.351,,no data
KWASEATT2357,Green Arbor North,47.708,-122.37,50.80495868,
KWASEATT2552,BlueRidgeBleachers,47.705,-122.373,51.12124646,
KWASEATT188,Blue Ridge,47.703,-122.383,52.72417582,
KWASEATT1786,Edge of Blue Ridge,47.703,-122.374,53.01616438,
KWASEATT2504,NORTH BEACH 2,47.7,-122.392,51.37342466,
KWASEATT2645,CircleCeattle,47.696,-122.396,50.91890411,
KWASEATT1987,North Beach,47.696,-122.401,51.37506849,
KWASEATT2865,Forest Hill,47.694,-122.398,,no data
KWASEATT2752,Meadowbrook Harriet,47.709,-122.288,51.49452055,
KWASEATT2615,Matthews Beach 6162,47.7,-122.28,51.89534247,
KWASEATT293,View Ridge,47.679,-122.271,52.48986301,
KWASEATT2824,Ted,47.687,-122.354,51.90027624,
KWASEATT1861,NW Greenlake,47.684,-122.342,52.68753463,
KWASEATT2654,wstation,47.683,-122.346,52.74410959,
KWASEATT2923,WS-2902C,47.68,-122.355,,no data
KWASEATT2567,The Lemonade Stand,47.681,-122.358,52.40712329,
KWASEATT2818,PhinneyAmbientWS2000,47.68,-122.361,,no data
KWASEATT2764,Beanstalk,47.675,-122.35,52.05863014,
KWASEATT2007,Phinney Ridge,47.672,-122.352,51.75890411,
KWASEATT2851,Woodland Park Zoo West Entry,47.669,-122.353,,no data
KWASEATT1701,Ballard,47.668,-122.361,53.03753425,
KWASEATT1704,Whittier Heights,47.682,-122.368,52.69123288,
KWASEATT2270,Stonesquale Station,47.682,-122.361,52.59972603,
KWASEATT2847,47th St Seattle,47.663,-122.348,52.49467787,
KWASEATT210,Phinney Ridge,47.663,-122.356,52.4997191,
KWASEATT2471,Fremont Townie,47.661,-122.355,52.27424658,
KWASEATT2620,WaterhouseStation,47.659,-122.36,52.72164384,
KWASEATT2807,SEAFOXGLOVE,47.655,-122.357,52.69616438,
KWASEATT2442,Upper Fremont,47.656,-122.351,52.3139726,
KWASEATT2753,North Fremont,47.655,-122.348,52.8625,
KWASEATT2612,Wallingford House,47.66,-122.336,52.92383562,
KWASEATT2519,J-podcast,47.659,-122.343,52.4169863,
KWASEATT2716,Burke and 40th,47.656,-122.335,52.90136986,
KWASEATT418,Wallingford,47.656,-122.328,53.14876712,
KWASEATT2651,Juniper's Station,47.654,-122.339,52.4060274,
KWASEATT2940,Hopper Weather,47.653,-122.334,,no data
KWASEATT2655,Townhouse,47.651,-122.342,52.38109589,
KWAWASHI44,midaselgatomrroboto,47.65,-122.33,51.29052632,
KWASEATT1925,Crown Hill(12th 95th),47.698,-122.37,51.40575342,
KWASEATT130,Crown Hill Station,47.697,-122.375,51.32958904,
KWASEATT2305,Crown Hill Weather,47.693,-122.367,51.6309589,
KWASEATT1865,"Crown Hill, Seattle",47.692,-122.372,55.09972603,
KWASEATT2866,Mid-Olympic Manor,47.693,-122.384,,no data
KWASEATT2918,Backyard,47.689,-122.384,,no data
KWASEATT215,Ballard - Loyal Heights,47.688,-122.38,,no data
KWASEATT2953,Roof Sensor,47.689,-122.373,,no data
KWASEATT2770,Whittier Heights Kirke Park,47.68,-122.369,52.31479452,
KWASEATT2317,MARY,47.684,-122.375,51.65808219,
KWASEATT2426,betwixt the parks kwaseatt 2426,47.681,-122.382,52.07369863,
KWASEATT2658,Dark N Stormy,47.678,-122.385,51.99863014,
KWASEATT2539,Octopus Garden in the Shade Station,47.677,-122.388,51.83342466,
KWASEATT2873,WS Dooley Dobbs,47.686,-122.396,,drop because missing Jan-Oct data
KWASEATT2527,Zeuscaster,47.684,-122.392,51.46794521,
KWASEATT2635,Tempest,47.683,-122.399,51.58273973,
KWASEATT1750,Sunset Hill / Ballard,47.679,-122.397,,no data
KWASEATT2203,Hilltop,47.679,-122.403,51.91287671,
KWASEATT2179,The Refuge,47.677,-122.402,52.05616438,
KWASEATT148,"West Woodland, Post St",47.674,-122.37,52.3793956,
KWASEATT1914,West Woodland,47.671,-122.373,52.99616438,
KWASEATT1833,Ballard-Corners,47.675,-122.378,52.78072626,
KWASEATT2206,BallardRoofTop,47.674,-122.382,52.46383562,
KWASEATT2909,JCarmody Weather Station,47.674,-122.392,,no data
KWASEATT150,"Adams, Ballard",47.673,-122.393,51.96639118,
KWASEATT1725,Ballard,47.671,-122.397,52.98164384,
KWASEATT2702,Sunset Hill Backyard Station,47.671,-122.399,52.26575342,
KWASEATT2674,Sunset Hill,47.675,-122.399,51.79723757,
KWASEATT2965,Shed Sensor,47.673,-122.401,,no data
KWASEATT1992,Salmon Bay Bridge View,47.669,-122.401,51.83945205,
KWASEATT1645,Ballard,47.667,-122.393,54.17945205,
KWASEATT2569,Ballard - CSR,47.663,-122.38,55.73123288,
KWASEATT2592,NorthMagnolia,47.655,-122.399,51.35616438,
KWASEATT2732,RareWeather,47.648,-122.404,51.54547945,
KWASEATT2768,Left Coast,47.646,-122.403,51.51917808,
KWASEATT142,Magnolia - Puget Sound Works,47.646,-122.399,51.29726027,
KWASEATT2386,Interbay,47.647,-122.387,52.15412088,
KWASEATT2099,Magnolia/Interbay,47.643,-122.385,52.90383562,
KWASEATT2159,W McGraw Street Magnolia Seattle WA,47.639,-122.396,51.81086351,
KWASEATT2152,Kew,47.64,-122.402,52.47416667,
KWASEATT2517,Weather Monitor,47.638,-122.406,51.76630137,
KWASEATT2946,MV Gallivant,47.647,-122.345,,no data
KWASEATT211,Queen Anne - Western Exposure,47.652,-122.373,52.47052342,
KWASEATT1880,Northwest QA,47.647,-122.371,52.33753425,
KWASEATT2922,QAW,47.64,-122.371,,no data
KWASEATT92,Queen Anne - Toddster weather,47.643,-122.367,52.11643836,
KWASEATT2801,Trout Fishing in America,47.642,-122.366,52.03232877,
KWASEATT2920,Seattle - Atch - north side,47.643,-122.363,,no data
KWASEATT2747,ElJefeBrew,47.637,-122.368,52.38535912,
KWASEATT2019,Queen Anne - RT's backyard weather,47.639,-122.363,52,
KWASEATT2215,Jdub Weather,47.636,-122.363,51.93893557,
KWASEATT2690,NQA Weather,47.644,-122.354,52.81368715,
KWASEATT1900,Queen Anne,47.643,-122.354,52.85292479,
KWASEATT2323,Weathery Station,47.642,-122.349,52.12986301,
KWASEATT584,Queen Anne - Top of the Hill,47.641,-122.355,52.68794521,
KWASEATT2300,Nob Hill,47.639,-122.351,51.94,
KWASEATT2794,China Harbor,47.637,-122.34,53.86584022,
KWASEATT2799,Top of Queen Anne,47.633,-122.355,52.55598886,
KWASEATT2637,Rendezvous,47.63,-122.34,53.88956044,
KWASEATT1923,Queen Anne,47.626,-122.362,53.04191781,
KWASEATT2187,College Club Seattle,47.649,-122.326,53.15315068,
KWASEATT2650,Franklin Garage,47.649,-122.322,53.44027397,
KWASEATT1952,Eastlake Seattle,47.641,-122.324,53.35654596,
KWASEATT2009,Eastlake,47.642,-122.327,,no data
KWAFAIRV1,Phoenix Moorage,47.641,-122.33,,drop because missing Jan-Aug data
KWASEATT2895,Office Weather Station,47.65,-122.325,,no data
KWAFAIRV2,Lake Union,47.638,-122.33,,no data
KWASEATT2905,Eastlake Collonade,47.635,-122.324,,no data
KWASEATT2911,N_Capitol Hill,47.638,-122.32,,no data
KWASEATT2889,Ambien,47.636,-122.32,,no data
KWASEATT2776,McGraw,47.64,-122.304,53.12630137,
KWASEATT2871,Swoopy,47.635,-122.303,,no data
KWASEATT2127,"KF0RY in Seattle, WA",47.636,-122.283,54.44876033,
KWASEATT2210,City,47.628,-122.293,51.34821918,
KWASEATT2692,RoyStreet,47.625,-122.297,52.4661157,
KWASEATT2864,33rd Ave Weather,47.574,-122.291,,drop because missing Jan-Oct data
KWASEATT2892,Bob Vinton,47.565,-122.275,,no data
KWASEATT2086,Columbia City,47.563,-122.284,52.90547945,
KWASEATT2028,Mid Beacon Hill,47.561,-122.314,52.64219178,
KWASEATT2660,N7OYW,47.558,-122.314,52.94821918,
KWASEATT206,Hillman City,47.552,-122.281,52.87381616,
KWASEATT607,Seward Park,47.554,-122.27,54.23123288,
KWASEATT2566,Findlay St. Station,47.552,-122.269,52.69068493,
KWASEATT617,Wedgwood,47.68,-122.287,52.97972603,
KWASEATT2118,Beacon Hill,47.546,-122.303,52.89068493,
KWASEATT2791,Frontenac,47.54,-122.291,52.87917808,
KWASEATT2827,Orchard St,47.538,-122.273,52.92657534,
KWASEATT2440,Holden Station,47.534,-122.293,52.9890411,
KWASEATT2311,Renton Ave Estates,47.527,-122.278,53.2539726,
KWASEATT2538,KE7JIM,47.524,-122.284,52.53917808,
KWASEATT2080,Rainier Beach,47.525,-122.26,53.26438356,
KWASEATT2936,Home,47.51,-122.245,,no data
KWASEATT2666,Boat Station,47.514,-122.255,53.28547945,
KWASEATT2101,Rainier Beach,47.509,-122.254,52.72857143,
KWASEATT209,Seattle - Upper Rainier Beach,47.513,-122.255,54.12271468,
KWASEATT2758,9800 Weather Station,47.513,-122.259,52.85083799,
KWASEATT2634,"Rainier Beach, WA Freki Station",47.507,-122.268,52.38818681,
KWASEATT1981,Upper Rainier Beach,47.504,-122.265,51.50358209,
KWASEATT2213,Rainier View (SCL corridor adjacent),47.504,-122.261,52.12150838,
KWASEATT447,Alki,47.582,-122.402,52.0767313,
KWASEATT1824,Eleanor,47.582,-122.392,51.93287671,
KWASEATT2255,NordicFortress,47.581,-122.378,52.34493151,
KWASEATT2772,Campbell PL,47.578,-122.403,52.5584022,
KWASEATT2973,West Seattle Belvidere,47.578,-122.38,,no data
KWASEATT2522,Alki Flats,47.576,-122.412,52.43087819,
KWASEATT2516,Weather Station,47.575,-122.391,51.41561644,
KWASEATT2883,Randible Station,47.575,-122.389,,no data
KWASEATT2693,Walnut Express,47.575,-122.383,51.66931507,
KWASEATT2284,Applegate Weather,47.571,-122.409,52.30164835,
KWASEATT2228,Bench View,47.572,-122.402,51.18520548,
KWASEATT2473,Ws-2000 38th ave,47.572,-122.381,52.18794521,
KWASEATT2763,Westbridge,47.572,-122.374,52.30575342,
KWASEATT2600,The Hill,47.568,-122.406,51.8860274,
KWASEATT1940,GenHillFam,47.568,-122.397,51.88410959,
KWASEATT2966,WX4040,47.567,-122.392,,no data
KWASEATT2717,Coopville,47.569,-122.385,52.29205479,
KWASEATT1920,West Seattle Andover,47.568,-122.382,52.59835616,
KWASEATT2947,Pitbull Media Group,47.57,-122.378,,no data
KWASEATT1965,Dakota St,47.567,-122.392,53.10356164,
KWASEATT2543,BoomZag,47.568,-122.372,52.63178082,
KWASEATT2961,Pigeon Point,47.568,-122.362,,no data
KWASEATT241,North Delridge,47.565,-122.37,52.98246575,
KWASEATT2809,Weather Center 1,47.564,-122.373,,no data
KWASEATT2900,Puget Park,47.558,-122.357,,no data
KWASEATT2618,Genesee,47.564,-122.391,53.35835616,
KWASEATT1619,Alaska Junction/Genesee,47.564,-122.39,53.37465565,
KWASEATT2370,SKEE Home Weather Station,47.564,-122.38,52.36465753,
KWABEACH2,Alki Yacht Club,47.561,-122.405,51.48657534,
KWASEATT2518,Nacho Weather Station,47.56,-122.394,52.15595568,
KWASEATT2903,West Seattle Weather,47.558,-122.387,,no data
KWASEATT2632,West Seattle Best Seattle,47.556,-122.378,52.14876712,
KWASEATT2583,Seaview,47.555,-122.389,51.9739726,
KWASEATT2027,ShorePlace,47.554,-122.399,52.33561644,
KWASEATT2390,club56,47.552,-122.394,52.36565097,
KWASEATT2686,B-Rain Weathuh,47.552,-122.391,52.0890411,
KWABEACH3,Beach Drive Weather,47.545,-122.399,51.83726027,
KWASEATT2402,West Seattle (Seaview),47.546,-122.393,52.25524862,
KWASEATT1908,High Point,47.549,-122.375,52.00958904,
KWASEATT494,Delridge,47.547,-122.365,51.27232877,
KWASEATT2652,TreeHouse Weather,47.539,-122.396,51.69726027,
KWASEATT2075,West Seattle -- Gatewood,47.538,-122.391,52.20246575,
KWASEATT2734,7516 Weather Station,47.535,-122.389,51.74739726,
KWASEATT2913,Is the wind low man?,47.533,-122.388,,no data
KWASEATT2191,Goodtimes,47.53,-122.387,52.97624309,
KWASEATT1986,Top of Thistle Steps,47.528,-122.388,52.86353591,
KWASEATT2464,Near WS Ferry Dock,47.52,-122.388,51.52630137,
KWASEATT2898,FauntleyHillz,47.523,-122.385,,no data
KWASEATT2875,Donovan street house,47.525,-122.384,,drop because missing Jan-Oct data
KWASEATT2842,3915,47.535,-122.383,51.86712329,
KWASEATT2340,Gatewood Webster Street,47.536,-122.38,51.81506849,
KWASEATT2067,"Sunrise Heights, West Seattle",47.538,-122.379,51.38493151,
KWASEATT2239,Seattle Station,47.531,-122.379,52.0030137,
KWASEATT313,Fauntleroy,47.522,-122.379,51.87068493,
KWASEATT2735,Sunrise Heights,47.539,-122.373,52.21452055,
KWASEATT2743,TifandRog,47.532,-122.373,51.66493151,
KWASEATT2461,5in1 Wi-Fi,47.531,-122.368,52.69835616,
KWASEATT2496,Roxbury Adjacent,47.525,-122.374,51.92880886,
KWASEATT2486,Highland Park,47.536,-122.353,,no data
KWASEATT2269,Straughan Station,47.535,-122.345,52.1309589,
KWASEATT2844,"Kerplonk, Ink.",47.528,-122.346,51.91342466,
KWASEATT1860,Highland Park,47.526,-122.353,52.13863014,
KWASEATT1941,Highland Park,47.524,-122.358,52.4862259,
KWASEATT2167,WS-1401 ObserverIP,47.524,-122.35,51.87424658,
KWASEATT2927,Backyard,47.523,-122.353,,no data
KWASEATT2509,house,47.52,-122.349,52.1230137,
KWASEATT2683,JDLWC,47.521,-122.358,52.26246575,
KWASEATT2882,Little City Farm #5,47.521,-122.361,,drop because missing Jan-Nov data
KWASEATT207,Fauntleroy,47.519,-122.386,51.88246575,
KWASEATT2360,Fauntleroy,47.519,-122.388,51.9430137,
KWASEATT1855,Forest Hills,47.515,-122.388,52.00164384,
KWASEATT2762,Lundcast 3000,47.507,-122.381,51.54630137,
KWASEATT308,West Seattle - Arroyos,47.506,-122.384,51.74148352,
KWASEATT2358,Eustalker Eyrie,47.504,-122.382,51.87403315,
KWASEATT2619,Alki,47.582,-122.402,51.99972603,
KWASEATT2446,Sunrise Heights - Tempest,47.538,-122.379,50.50876712,
KWASEATT2021,Greenlake,47.684,-122.348,51.92575342,
